root_tweet_id,thread_text,human_label
2616864.0,"Customer: Dear @AmericanAir , your mechanics suck. This guy should be fired. #4777 to #philly. 🙄
Brand: @739629 Our maintenance team is working hard to get everything squared away as quickly as possible. We're showing a departure time of 9:30a.
Customer: @AmericanAir Idk how that is possible if we aren’t even close to boarding... departure times mean nothing when you don’t stick to them.
Brand: @739629 We'll get you going as quickly as we can. We appreciate you hanging in there.
Customer: @AmericanAir  https://t.co/blLOiP7oIW",flight_disruption_refund
1210853.0,"Customer: @AmericanAir Left my absolute favorite sentimental coat on an airplane at DTW. Does that airport have an actual lost and found I can go to?
Brand: @404217 We want to get you reunited and encourage you file a claim with our Lost and Found team here: https://t.co/JsEGHYNki5
Customer: @AmericanAir Just did that, I was just wondering if there was a physical place I could go to where they could check if they had my item on the spot. https://t.co/LR3z3hKhcT
Brand: @404217 The lost and found office for our DTW customers is in the baggage office by the luggage carousels.
Customer: @AmericanAir Is it an actual office where they can go back and see if they have your item or just fill out forms?",baggage_fees
1359546.0,"Customer: @AmericanAir Once again your ""customer no service"" has caused me to book another airline, as well as try to rework today's flight
Customer: @AmericanAir Typical AA personnel who are only too happy not to help. Refused to help reset my password. Lazy
Customer: @AmericanAir Won't make this mistake again. Deleted my app. Delta here I come.....
Brand: @162947 Password resets can be done on the website here: https://t.co/y42TTiEQmT.
Customer: @AmericanAir Do you even read these complaints?
If I could get on the website I would not need your lazy employees",technical_app_issue
1156293.0,"Customer: @391998 @116147 @AmericanAir @AlaskaAir yes :) just landed
Brand: @367039 We'd really like a specialist to reach out to you directly. Please DM the best email and phone contact.
Customer: @AmericanAir @367039 Please ensure in the future that Paulina's trip goes smoothly. Thanks!",positive_feedback
2272086.0,"Customer: @AmericanAir I’m gold and group 4 for boarding? Hmm. Doesn’t seem right.
Brand: @339046 That's correct. We've made some changes to the group numbers. Check it out here: https://t.co/ro6Ga4r4c4
Customer: @AmericanAir Oooohkay. Ok. That makes more sense.  Thanks for the info. ❤️ @AmericanAir
Brand: @339046 Anytime! Have a greAAt flight.
Customer: @AmericanAir  https://t.co/6UtlhMAYsP",policy_information
966424.0,"Customer: @AmericanAir How do you get this back to your car without a handle or anything to be able to zip it up? Carry the greasy bag on your back
Brand: @341969 Please work with our team at the airport and they'll provide you with as much help possible.
Customer: @AmericanAir Issue resolved - thanks to a lovely customer service agent Sharon (50626). Please find her and give her a kudos
Brand: @341969 We'd love to pass your praises along! Was Sharon an airport agent or did you speak with her over the phone? #AATeam
Customer: @AmericanAir Spoke with her over the phone - she walked me through the options and next steps and we resolved the issue this morning.",baggage_fees
466931.0,"Customer: I honestly have never had a worse experience than this evening with @AmericanAir, and that includes a 12-Hour flight delay with Southwest I once had. AA is an embarrassment &amp; the AA staff @150414 are truly awful. Honestly this has to be a joke.
Brand: @225453 We're truly sorry that your travel has been affected. We've got an estimated departure time of 12:30a.
Customer: @AmericanAir Quit updating your goddamn app. They’re putting us up in a hotel. No luggage though so we can’t brush our teeth. I will never fly you ever again. This has been beyond horrible",flight_disruption_refund
2508417.0,"Customer: @715133 Yeah, it is. I fly basically every week for work, and I’ll only fly @AmericanAir now.
Brand: @715132 We appreciate you loyalty and can't wait to see you on board again soon!
Customer: @AmericanAir Thank you. That will be tomorrow. 😃",positive_feedback
1659972.0,"Customer: @AmericanAir Trying to book a flight DFW-CVG. Are you all not flying AA2315 on 10/31? Thanks!
Brand: @453702 Hey, Sarah, we checked and we're not operating flight 2315 on the 31st of Oct. It will resume however the following day.
Customer: @AmericanAir Thanks! I booked a different outbound ✈️",booking_reservation
1303411.0,"Customer: @AmericanAir extra legroom? Wow I hate to see what it is like in regular seating. When did this shrinkage occur (been up front)?
Brand: @424580 Our Main Cabin Extra seats offer extra legroom, we're sorry if you weren't comfy.
Customer: @AmericanAir Not what I consider extra l. Also jetblue has much more legroom in their “extra legroom” honestly not worth earning execplat #disappointed",policy_information
908595.0,"Customer: Then get told ""you've been taken off this @AmericanAir flight,"" but you made it here in time, so we will put you in the last row in middle!
Brand: @335792 Sorry about that, Jack. We count on every team member to be courteous, kind, and helpful with every customer we have.
Customer: @AmericanAir .@AmericanAir No worries 👍🏻",service_quality_complaint
