root_tweet_id,thread_text,num_turns,predicted_intent,error
514263.0,"Customer: Booked flights home with @AmericanAir last night and haven't received my confirmation email and stupidly didn't write down the booking reference number. #helpmeimdumb
Brand: @238407 We'll gladly take a look for you, Sara. Please DM us the city pair, departure time or flight number and name as it appears on the ticket.
Customer: @AmericanAir Appreciate your reply, got the email confirmation just as I went to write back to you &lt;3 thank you!!",3,booking_reservation,
181673.0,"Customer: @AmericanAir nothing happening gate 50A LAX to CLT as we wait on flt attendant.  I DEMAND A REFUND!  DM Me. Now 1/2 hour boarding delay https://t.co/p6F4Maowoi
Brand: @158683 Meet us in DM with your record locator so we can take a peek.
Customer: @AmericanAir where is my refund
Brand: @158683 If your flight is delayed an hour or more and you choose not to fly with us, you can request a refund here: https://t.co/xM8Vkc7BvM
Customer: @AmericanAir YOUR IRRESPONSIBLE FLIGHT ATTENDANT FORGOT HER ID AT HER HOTEL!  Not my problem.  Credit me back my ticket price",5,flight_disruption_refund,
1250453.0,"Customer: @AmericanAir Any chance you’d like to reward a #frequentflier with a first class upgrade on AA1169 DEN-DFW tomorrow morning? 😏 🤛🏻
Brand: @413369 We don't have any special upgrade powers here, David. We're excited to see you in the morning!
Customer: @AmericanAir worth a shot right?! Always look forward to flying @AmericanAir",3,positive_feedback,
1127075.0,"Customer: @AmericanAir Outbound flight delayed-miss connection-results in red-eye. Return flight path starts with a 3 hour mechanical delay after plane sat at airport for 8 hours overnight. #HappyThanksgiving
Brand: @385746 We dislike delays as much as you do. Our apologies for the wait this morning.
Customer: @AmericanAir I fly 75-100k a year, and the preventable delays (like a mechanical issue with 8 hours notice) where customers suffer for lack of foresight are the toughest to observe let alone be party to",3,flight_disruption_refund,
1056491.0,"Customer: I try to pay @AmericanAir money at my gate for a better seat they tell me my ticket doesn't qualify, yet can easily do it online 🤔
Brand: @369442 Sometimes we offer special upgrades during the check-in process that otherwise wouldn't be available.
Customer: @AmericanAir I was just asking if I could pay for a seat upgrade like what's offered when picking a seat and again was available still on your site, that seems different. Just odd you can just get it standing at the gate on your own device but can't thru the attendant right next to you.",3,policy_information,
698155.0,"Customer: gates agents rude.  Passed 2 Envoy supervisor 2 @AmericanAir customer service.  Going on 2 hours #AmericanAirlines #nohelp
Brand: @286551 Our apologies for any rudeness, Bryan. We're here to help so let us know what we can do.
Customer: @AmericanAir How do I get compensation for Issue.  Not right and treated poorly.",3,service_quality_complaint,
469600.0,"Customer: @AmericanAir can I bring a blanket without it carrying as my carry on
Brand: @226815 Yes, you can bring your blanket and it does not count as a carry on.
Customer: @AmericanAir I don't have to put it inside my bag?",3,policy_information,
2570508.0,"Customer: Plenty Of Legroom On My @AmericanAir Flight.I Could Use A Few More Inches On The Sides https://t.co/SuQtEHNfyj!The Seats Are Getting Smaller
Brand: @258150 #KeepsOnWinning
Customer: @AmericanAir @258150 how much are you being paid by American for all of the positive Fake tweets ?",3,service_quality_complaint,
409790.0,"Customer: AA#1632 - Spent an hour on a plane @ &gt;100 degrees before back to gate....no water from attendants...incompetence @AmericanAir
Brand: @212722 Our sincere apologies for any discomfort. Glasses have to be collected prior to take-off.
Customer: @AmericanAir So plastic cups for a plane that never departed are worse than folks on plane with no AC?",3,service_quality_complaint,
2767097.0,"Customer: @AmericanAir https://t.co/tzNw9v8O3s
Brand: @773797 How can we help?
Customer: @AmericanAir When did it ge to expensive to fly to Haiti ???
Brand: @773797 Prices vary depending on availability. Keep an eye on https://t.co/rZn1O8LpE6 for some great deals.
Customer: @AmericanAir I’ve been doing it that for the past 3 months. What’s going on with you guys ?",5,policy_information,
2008673.0,"Customer: Apparently @AmericanAir doesn't allow families with infant children to board first and then breaks their strollers. Poor service!
Brand: @502467 Please let the agent aware prior to boarding. https://t.co/RbICpbO1ka Please check with our Baggage Services in regards to your stroller.
Customer: @AmericanAir @AmericanAir your agent was well aware. Response was ""nope"" and there was no one at baggage service to help in Rochester",3,service_quality_complaint,
215455.0,"Customer: flying #americaneagle @AmericanAir ! Hoping to get the bags.. fingers crossed 🤞! #DesMoines  @11440
Brand: @167201 Your bags are in #GoodWings with us Poornima!
Customer: @AmericanAir Thanks for assuring but the flight is delayed !",3,flight_disruption_refund,
