root_tweet_id,groundedness,relevance,tone,actionability,raw_judge_output
1925292.0,5,3,5,5,"groundedness: 5
relevance: 3
tone: 5
actionability: 5"
1780173.0,5,5,4,5,"groundedness: 5
relevance: 5
tone: 4
actionability: 5"
961209.0,5,4,5,5,"groundedness: 5
relevance: 4
tone: 5
actionability: 5"
2837934.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
880211.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
1090068.0,5,4,4,3,"groundedness: 5
relevance: 4
tone: 4
actionability: 3"
1156863.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
666439.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
411210.0,5,4,4,5,"groundedness: 5
relevance: 4
tone: 4
actionability: 5"
1167921.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
1791754.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
2531805.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
2572521.0,1,1,3,4,"groundedness: 1
relevance: 1
tone: 3
actionability: 4"
418200.0,5,4,5,4,"groundedness: 5
relevance: 4
tone: 5
actionability: 4"
2967306.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
2321103.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
959841.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
2057544.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
2911107.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
2798762.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
1038981.0,5,2,4,2,"groundedness: 5
relevance: 2
tone: 4
actionability: 2"
1746303.0,5,4,4,4,"groundedness: 5
relevance: 4
tone: 4
actionability: 4"
1827535.0,4,5,5,4,"groundedness: 4
relevance: 5
tone: 5
actionability: 4"
1023922.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
765666.0,5,5,5,3,"groundedness: 5
relevance: 5
tone: 5
actionability: 3"
2250453.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
881321.0,5,4,5,4,"groundedness: 5
relevance: 4
tone: 5
actionability: 4"
2707128.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
1576765.0,5,5,4,5,"groundedness: 5
relevance: 5
tone: 4
actionability: 5"
402358.0,2,3,4,4,"groundedness: 2
relevance: 3
tone: 4
actionability: 4"
2524723.0,5,5,5,4,"groundedness: 5
relevance: 5
tone: 5
actionability: 4"
414093.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
2277569.0,5,5,4,4,"groundedness: 5
relevance: 5
tone: 4
actionability: 4"
1470314.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
1911026.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
267403.0,5,5,4,4,"groundedness: 5
relevance: 5
tone: 4
actionability: 4"
1244528.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
2653905.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
56173.0,5,5,5,5,"groundedness: 5
relevance: 5
tone: 5
actionability: 5"
2073669.0,5,5,4,5,"groundedness: 5
relevance: 5
tone: 4
actionability: 5"
